date,closing_price,sentiment,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
3/19/18,8412.03,0.547,0.726,0.48,0.592,0.459,0.517,0.608,0.662,0.436,0.54,0.457,0.462,0.604,0.422,0.469,0.37,0.469,0.616,0.679,0.471,0.393,0.744,0.872,0.559,0.519
3/20/18,8986.95,0.59,0.553,0.571,0.535,0.829,0.61,0.596,0.602,0.526,0.387,0.579,0.609,0.693,0.521,0.5,0.54,0.556,0.637,0.632,0.659,0.521,0.757,0.471,0.725,0.555
3/21/18,8947.75,0.572,0.638,0.468,0.508,0.726,0.461,0.56,0.604,0.596,0.661,0.733,0.697,0.519,0.619,0.536,0.502,0.593,0.678,0.675,0.379,0.385,0.586,0.568,0.501,0.529
3/22/18,8690.41,0.611,0.52,0.586,0.802,0.684,0.667,0.6,0.78,0.628,0.573,0.495,0.606,0.617,0.748,0.566,0.604,0.674,0.473,0.637,0.622,0.524,0.8,0.479,0.534,0.437
3/23/18,8686.83,0.637,0.712,0.622,0.599,0.751,0.629,0.626,0.622,0.658,0.769,0.812,0.767,0.583,0.569,0.533,0.627,0.718,0.678,0.47,0.712,0.446,0.633,0.635,0.463,0.665
3/24/18,8662.38,0.571,0.583,0.497,0.685,0.42,0.688,0.413,0.516,0.532,0.68,0.594,0.543,0.444,0.472,0.639,0.694,0.58,0.576,0.524,0.707,0.54,0.606,0.491,0.571,0.704
3/25/18,8617.3,0.513,0.562,0.674,0.519,0.3,0.586,0.546,0.587,0.357,0.495,0.495,0.522,0.458,0.513,0.627,0.499,0.68,0.546,0.557,0.359,0.566,0.588,0.582,0.416,0.288
3/26/18,8197.55,0.601,0.602,0.73,0.579,0.543,0.685,0.659,0.499,0.666,0.641,0.544,0.539,0.518,0.462,0.763,0.538,0.509,0.57,0.647,0.595,0.637,0.62,0.678,0.567,0.624
3/27/18,7876.2,0.513,0.744,0.652,0.513,0.318,0.464,0.579,0.563,0.456,0.498,0.372,0.529,0.498,0.567,0.394,0.474,0.395,0.387,0.43,0.802,0.613,0.588,0.554,0.437,0.493
3/28/18,7960.38,0.499,0.499,0.365,0.509,0.318,0.412,0.399,0.528,0.463,0.532,0.54,0.553,0.575,0.516,0.388,0.573,0.628,0.349,0.435,0.493,0.532,0.595,0.659,0.456,0.668
3/29/18,7172.28,0.514,0.573,0.486,0.537,0.424,0.672,0.468,0.414,0.592,0.429,0.498,0.354,0.651,0.518,0.687,0.386,0.559,0.501,0.558,0.588,0.581,0.583,0.363,0.421,0.495
3/30/18,6882.53,0.475,0.551,0.41,0.501,0.46,0.251,0.568,0.566,0.459,0.437,0.495,0.598,0.357,0.415,0.34,0.639,0.481,0.636,0.41,0.391,0.517,0.397,0.48,0.469,0.576
3/31/18,6935.48,0.521,0.286,0.581,0.571,0.48,0.66,0.467,0.421,0.366,0.569,0.53,0.699,0.588,0.544,0.55,0.616,0.393,0.706,0.628,0.261,0.53,0.526,0.498,0.454,0.58
4/1/18,6794.11,0.482,0.486,0.205,0.519,0.577,0.396,0.498,0.436,0.565,0.356,0.452,0.531,0.525,0.304,0.472,0.462,0.563,0.671,0.644,0.471,0.544,0.387,0.658,0.351,0.499
